value_recorded,En Description,EN Para,中文描述,中文参数
V5-AI-1/PV.CV,AI-1,PV,AI-1,PV测量值
V5-AI-2/PV.CV,AI-2,PV,AI-2,PV测量值
V5-AIC-DO/FS_CTRL1/DO_COMP1/PV.CV,DO Probe-1,Comp. DO Value,DO探头-1,补偿后DO
V5-AIC-DO/FS_CTRL1/DO_COMP2/PV.CV,DO Probe-2,Comp. DO Value,DO探头-2,补偿后DO
V5-AIC-DO/FS_CTRL1/DO_COMP3/PV.CV,DO Probe-3,Comp. DO Value,DO探头-3,补偿后DO
V5-AIC-DO/OUT.CV,DO Control,OUT,DO控制,OUT输出值
V5-AIC-DO/PV.CV,DO Control,PV,DO控制,PV测量值
V5-AIC-DO/SP.CV,DO Control,SP,DO控制,SP设定值
V5-AIC-PH/FS_CTRL1/PH_COMP1/OUT.CV,pH Probe-1,Comp. pH Value,pH探头-1,补偿后pH
V5-AIC-PH/FS_CTRL1/PH_COMP2/OUT.CV,pH Probe-2,Comp. pH Value,pH探头-2,补偿后pH
V5-AIC-PH/FS_CTRL1/PH_COMP3/OUT.CV,pH Probe-3,Comp. pH Value,pH探头-3,补偿后pH
V5-AIC-PH/OUT.CV,pH Control,OUT,pH控制,OUT输出值
V5-AIC-PH/PV.CV,pH Control,PV,pH控制,PV测量值
V5-AIC-PH/SP.CV,pH Control,SP,pH控制,SP设定值
V5-AI-LE1/LE1/OUT.CV,Lab Entry-1,Log Value,离线检测-1,检测值
V5-AI-LE1/LE1/SAMPLE_TIME.CV,Lab Entry-1,Sample Time,离线检测-1,取样时间
V5-AI-LE1/LE2/OUT.CV,Lab Entry-2,Log Value,离线检测-2,检测值
V5-AI-LE1/LE2/SAMPLE_TIME.CV,Lab Entry-2,Sample Time,离线检测-2,取样时间
V5-AI-LE1/LE3/OUT.CV,Lab Entry-3,Log Value,离线检测-3,检测值
V5-AI-LE1/LE3/SAMPLE_TIME.CV,Lab Entry-3,Sample Time,离线检测-3,取样时间
